Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Open Ended Schemes ( Debt Scheme - Overnight Fund )


Bajaj Finserv Mutual Fund
153437;Bajaj Finserv Overnight Fund - Direct - Unclaimed less than 3 years IDCW Plan;Direct Plan;Unclaimed less than 3 years IDCW Plan;INF0QA701AE3;;1076.9828;26-Sep-2026
153438;Bajaj Finserv Overnight Fund - Direct - Unclaimed less than 3 years Redemption Plan;Direct Plan;Unclaimed less than 3 years Redemption Plan;INF0QA701AF0;;1082.8045;26-Sep-2026
151843;Bajaj Finserv Overnight Fund - Direct Plan - Daily - IDCW;Direct Plan;Daily - IDCW;;INF0QA701185;1033.1412;26-Sep-2026
151850;Bajaj Finserv Overnight Fund - Direct Plan - Fortnightly - IDCW;Direct Plan;Fortnightly - IDCW;INF0QA701235;INF0QA701201;1033.8662;26-Sep-2026
151849;Bajaj Finserv Overnight Fund - Direct Plan - Growth;Direct Plan;Growth;INF0QA701177;;1211.6050;26-Sep-2026
151845;Bajaj Finserv Overnight Fund - Direct Plan - Monthly - IDCW;Direct Plan;Monthly - IDCW;INF0QA701243;INF0QA701219;1034.7231;26-Sep-2026
151844;Bajaj Finserv Overnight Fund - Direct Plan - Weekly - IDCW;Direct Plan;Weekly - IDCW;INF0QA701227;INF0QA701193;1033.8636;26-Sep-2026
151852;Bajaj Finserv Overnight Fund - Regular Plan - Daily - IDCW;Regular Plan;Daily - IDCW;;INF0QA701292;1032.8859;26-Sep-2026
151847;Bajaj Finserv Overnight Fund - Regular Plan - Fortnightly - IDCW;Regular Plan;Fortnightly - IDCW;INF0QA701318;INF0QA701276;1033.5900;26-Sep-2026
151851;Bajaj Finserv Overnight Fund - Regular Plan - Growth;Regular Plan;Growth;INF0QA701250;;1209.6503;26-Sep-2026
151848;Bajaj Finserv Overnight Fund - Regular Plan - Monthly - IDCW;Regular Plan;Monthly - IDCW;INF0QA701326;INF0QA701284;1034.4498;26-Sep-2026
151846;Bajaj Finserv Overnight Fund - Regular Plan - Weekly - IDCW;Regular Plan;Weekly - IDCW;INF0QA701300;INF0QA701268;1033.6199;26-Sep-2026

Bank of India Mutual Fund
147951;BANK OF INDIA Overnight Fund Direct Plan Growth;Direct Plan;Growth;INF761K01EU7;;1404.7351;26-Sep-2026
147952;BANK OF INDIA Overnight Fund Direct Plan- Daily IDCW;Direct Plan;Daily IDCW;;INF761K01EV5;1000.0000;26-Sep-2026
147948;BANK OF INDIA Overnight Fund Direct Plan- Monthly IDCW;Direct Plan;Monthly IDCW;INF761K01EY9;INF761K01EX1;1004.0138;26-Sep-2026
147950;BANK OF INDIA Overnight Fund Direct Plan- Weekly IDCW;Direct Plan;Weekly IDCW;;INF761K01EW3;1000.6904;26-Sep-2026
147936;BANK OF INDIA Overnight Fund Regular Plan Growth;Regular Plan;Growth;INF761K01EZ6;;1400.5415;26-Sep-2026
147953;BANK OF INDIA Overnight Fund Regular Plan- Daily IDCW;Regular Plan;Daily IDCW;;INF761K01FA6;1000.0000;26-Sep-2026
147949;BANK OF INDIA Overnight Fund Regular Plan- Monthly IDCW;Regular Plan;Monthly IDCW;INF761K01FD0;INF761K01FC2;1004.1367;26-Sep-2026
149412;BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Greater than 3 Years;;;;;1000.0000;26-Sep-2026
149414;BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Up to 3 Years;;;;;1320.6992;26-Sep-2026
149415;BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Greater than 3 Years;;;;;1000.0000;26-Sep-2026
149413;BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Upto 3 Years;;;;;1320.9355;26-Sep-2026

Edelweiss Mutual Fund
147551;Edelweiss Overnight Fund - Direct Plan - Annual - IDCW Option;Direct Plan;Annual IDCW;INF754K01KD5;INF754K01KC7;1358.0881;26-Sep-2026
147557;Edelweiss Overnight Fund - Direct Plan - Daily - IDCW Option;Direct Plan;Daily IDCW;;INF754K01JW7;1000.2518;26-Sep-2026
147550;Edelweiss Overnight Fund - Direct Plan - Fortnightly - IDCW Option;Direct Plan;Fortnightly IDCW;INF754K01JZ0;INF754K01JY3;1372.027;26-Sep-2026
147570;Edelweiss Overnight Fund - Direct Plan - Growth;Direct Plan;Growth;INF754K01JV9;;1428.216;26-Sep-2026
147554;Edelweiss Overnight Fund - Direct Plan - Monthly - IDCW Option;Direct Plan;Monthly IDCW;INF754K01KB9;INF754K01KA1;1057.6592;26-Sep-2026
147558;Edelweiss Overnight Fund - Direct Plan - Weekly - IDCW Option;Direct Plan;Weekly IDCW;;INF754K01JX5;1379.086;26-Sep-2026
147556;Edelweiss Overnight Fund - Regular Plan - Annual - IDCW Option;Regular Plan;Annual IDCW;INF754K01KM6;INF754K01KL8;1352.0467;26-Sep-2026
147552;Edelweiss Overnight Fund - Regular Plan - Daily - IDCW Option;Regular Plan;Daily IDCW;;INF754K01KF0;1008.3777;26-Sep-2026
147549;Edelweiss Overnight Fund - Regular Plan - Fortnightly - IDCW Option;Regular Plan;Fortnightly IDCW;INF754K01KI4;INF754K01KH6;1096.9133;26-Sep-2026
147569;Edelweiss Overnight Fund - Regular Plan - Growth;Regular Plan;Growth;INF754K01KE3;;1422.628;26-Sep-2026
147555;Edelweiss Overnight Fund - Regular Plan - Monthly - IDCW Option;Regular Plan;Monthly IDCW;INF754K01KK0;INF754K01KJ2;1004.557;26-Sep-2026
147553;Edelweiss Overnight Fund - Regular Plan - Weekly - IDCW Option;Regular Plan;Weekly IDCW;;INF754K01KG8;1017.1121;26-Sep-2026
149476;Edelweiss Overnight Fund - Unclaimed IDCW Plan - Above 3 years;;;;;1000;26-Sep-2026
149477;Edelweiss Overnight Fund - Unclaimed IDCW Plan - Upto 3 years;;;;;1306.7398;26-Sep-2026
149479;Edelweiss Overnight Fund - Unclaimed Redemption Plan - Above 3 years;;;;;1000;26-Sep-2026
149478;Edelweiss Overnight Fund - Unclaimed Redemption Plan - Upto 3 years;;;;;1306.7381;26-Sep-2026

Franklin Templeton Mutual Fund
147213;Franklin India Overnight fund- Growth;Regular Plan;Growth;INF090I01SO8;;1435.3722;26-Sep-2026
147214;Franklin India Overnight Fund- Growth - Direct;Direct Plan;Growth;INF090I01SS9;;1440.5235;26-Sep-2026

LIC Mutual Fund
147516;LIC MF Overnight Fund-Direct Plan-Daily IDCW;Direct Plan;Daily IDCW;;INF767K01QG7;1129.0463;26-Sep-2026
147515;LIC MF Overnight Fund-Direct Plan-Growth;Direct Plan;Growth;INF767K01QI3;;1431.261;26-Sep-2026
147513;LIC MF Overnight Fund-Direct Plan-IDCW;Direct Plan;IDCW;INF767K01QE2;INF767K01QF9;1431.4338;26-Sep-2026
147514;LIC MF Overnight Fund-Direct Plan-Weekly IDCW;Direct Plan;Weekly IDCW;;INF767K01QH5;1110.9572;26-Sep-2026
147517;LIC MF Overnight Fund-Regular Plan-Daily IDCW;Regular Plan;Daily IDCW;;INF767K01QB8;1128.1972;26-Sep-2026
147519;LIC MF Overnight Fund-Regular Plan-Growth;Regular Plan;Growth;INF767K01QD4;;1419.1447;26-Sep-2026
147512;LIC MF Overnight Fund-Regular Plan-IDCW;Regular Plan;IDCW;INF767K01PZ9;INF767K01QA0;1255.0978;26-Sep-2026
147518;LIC MF Overnight Fund-Regular Plan-Weekly IDCW;Regular Plan;Weekly IDCW;;INF767K01QC6;1179.6326;26-Sep-2026

Mahindra Manulife Mutual Fund
147563;Mahindra Manulife Overnight Fund - Direct Plan - Daily IDCW;Direct Plan;Daily IDCW;;INF174V01846;1432.4233;26-Sep-2026
147564;Mahindra Manulife Overnight Fund - Direct Plan -Growth;Direct Plan;Growth;INF174V01838;;1428.8990;26-Sep-2026
147566;Mahindra Manulife Overnight Fund - Regular Plan - Daily IDCW;Regular Plan;Daily IDCW;;INF174V01820;1258.1151;26-Sep-2026
147565;Mahindra Manulife Overnight Fund - Regular Plan - Growth;Regular Plan;Growth;INF174V01812;;1418.5620;26-Sep-2026
149471;Mahindra Manulife Overnight Fund - Unclaimed Redemption/IDCW beyond 3 years;;Unclaimed Redemption/IDCW beyond 3 years;;;1000.0000;26-Sep-2026
149470;Mahindra Manulife Overnight Fund - Unclaimed Redemption/IDCW upto 3 years;;Unclaimed Redemption/IDCW upto 3 years;;;1310.4333;26-Sep-2026

PGIM India Mutual Fund
147605;PGIM India Overnight Fund - Direct Plan - Daily Dividend Option;Direct Plan;Direct IDCW;;INF663L01T35;1000.0087;26-Sep-2026
147606;PGIM India Overnight Fund - Direct Plan - Growth Option;Direct Plan;Direct Growth;INF663L01T01;;1422.6911;26-Sep-2026
147608;PGIM India Overnight Fund - Direct Plan - Weekly Dividend Option;Direct Plan;Direct IDCW;INF663L01T19;INF663L01T27;1000.1852;26-Sep-2026
147609;PGIM India Overnight Fund - Regular Plan - Daily Dividend Option;Regular Plan;Regular IDCW;;INF663L01T76;1000;26-Sep-2026
147607;PGIM India Overnight Fund - Regular Plan - Weekly Dividend Option;Regular Plan;Regular IDCW;INF663L01T50;INF663L01T68;1006.8624;26-Sep-2026
147600;PGIM India Overnight Fund - Regular Plan- Growth Option;Regular Plan;Regular Growth;INF663L01T43;;1416.2366;26-Sep-2026

Samco Mutual Fund
150631;Samco Overnight Fund - Direct Plan - Growth Option;Direct Plan;Growth;INF0K1H01040;;1259.3369;26-Sep-2026
150632;Samco Overnight Fund - Regular Plan - Growth Option;Regular Plan;Growth;INF0K1H01032;;1248.7593;26-Sep-2026
153021;Samco Overnight Fund - Unclaimed Redemption Upto 3 years;;;;;1101.7055;26-Sep-2026

Tata Mutual Fund
146978;TATA Overnight Fund Direct Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option   ;Direct Plan;Daily Reinvestment of Income Distribution cum capital withdrawal option;;INF277K019T3;1000.0000;26-Sep-2026
146979;TATA Overnight Fund Regular Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option   ;Regular Plan;Daily Reinvestment of Income Distribution cum capital withdrawal option;;INF277K017T7;1000.0000;26-Sep-2026
146980;Tata Overnight Fund-Direct Plan-Growth;Direct Plan;Growth Option;INF277K018T5;;1457.7390;26-Sep-2026
146977;Tata Overnight Fund-Regular Plan-Growth;Regular Plan;Growth Option;INF277K016T9;;1445.3202;26-Sep-2026

Trust Mutual Fund
149796;TRUST MF OVERNIGHT FUND-DIRECT PLAN-DAILY IDCW REINVESTMENT;Direct Plan;Daily IDCW Reinvestment;;INF0GCD01461;1276.9925;26-Sep-2026
149797;TRUST MF OVERNIGHT FUND-DIRECT PLAN-GROWTH;Direct Plan;Growth;INF0GCD01453;;1304.9627;26-Sep-2026
149798;TRUST MF OVERNIGHT FUND-REGULAR PLAN-DAILY IDCW REINVESTMENT;Regular Plan;Daily IDCW Reinvestment;;INF0GCD01446;1261.0702;26-Sep-2026
149795;TRUST MF OVERNIGHT FUND-REGULAR-GROWTH;Regular Plan;Growth;INF0GCD01438;;1301.8756;26-Sep-2026
153520;TRUSTMF OVERNIGHT FUND - UNCLAIMED REDEMPTION PLAN GROWTH;Direct Plan;Unclaimed Redemption Plan Growth;;;1007.6400;26-Sep-2026

UTI Mutual Fund
100814;UTI - Overnight  Fund - Regular Plan - Growth Option;Regular Plan;Growth;INF789F01604;;3736.3598;26-Sep-2026
120785;UTI - Overnight Fund - Direct Plan - Growth Option;Direct Plan;Growth;INF789FB1S71;;3779.3328;26-Sep-2026
124266;UTI Overnight Fund - Direct Plan - Daily IDCW;Direct Plan;Daily IDCW;;INF789FB1S89;1371.6621;26-Sep-2026
120786;UTI Overnight Fund - Direct Plan - Periodic IDCW;Direct Plan;Periodic IDCW;INF789FB1T05;INF789FB1S97;1983.4465;26-Sep-2026
124265;UTI Overnight Fund - Regular Plan - Daily IDCW;Regular Plan;Daily IDCW;;INF789FB1T13;1370.8617;26-Sep-2026
100813;UTI Overnight Fund - Regular Plan - Periodic IDCW;Regular Plan;Periodic IDCW;INF789F01588;INF789F01596;1924.8426;26-Sep-2026

Open Ended Schemes ( Debt Scheme - Liquid Fund )


Bajaj Finserv Mutual Fund
151835;Bajaj Finserv Liquid Fund - Direct Plan - Daily - IDCW;Direct Plan;Daily - IDCW;;INF0QA701029;1034.6939;26-Sep-2026
151838;Bajaj Finserv Liquid Fund - Direct Plan - Fortnightly - IDCW;Direct Plan;Fortnightly - IDCW;INF0QA701078;INF0QA701045;1035.3057;26-Sep-2026
151833;Bajaj Finserv Liquid Fund - Direct Plan - Growth;Direct Plan;Growth;INF0QA701011;;1242.6170;26-Sep-2026
151836;Bajaj Finserv Liquid Fund - Direct Plan - Monthly - IDCW;Direct Plan;Monthly - IDCW;INF0QA701086;INF0QA701052;1036.2738;26-Sep-2026
151834;Bajaj Finserv Liquid Fund - Direct Plan - Weekly - IDCW;Direct Plan;Weekly - IDCW;INF0QA701060;INF0QA701037;1035.3107;26-Sep-2026
151839;Bajaj Finserv Liquid Fund - Regular Plan - Daily - IDCW;Regular Plan;Daily - IDCW;;INF0QA701136;1033.8241;26-Sep-2026
151841;Bajaj Finserv Liquid Fund - Regular Plan - Fortnightly - IDCW;Regular Plan;Fortnightly - IDCW;INF0QA701151;INF0QA701110;1034.4072;26-Sep-2026
151837;Bajaj Finserv Liquid Fund - Regular Plan - Growth;Regular Plan;Growth;INF0QA701094;;1235.5101;26-Sep-2026
151842;Bajaj Finserv Liquid Fund - Regular Plan - Monthly - IDCW;Regular Plan;Monthly - IDCW;INF0QA701169;INF0QA701128;1035.3426;26-Sep-2026
151840;Bajaj Finserv Liquid Fund - Regular Plan - Weekly - IDCW;Regular Plan;Weekly - IDCW;INF0QA701144;INF0QA701102;1034.4172;26-Sep-2026

Bank of India Mutual Fund
119368;BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW;Direct Plan;Daily IDCW;;INF761K01CL0;1005.0000;26-Sep-2026
119369;BANK OF INDIA Liquid Fund- Direct Plan- Growth;Direct Plan;Growth;INF761K01785;;3278.8638;26-Sep-2026
119370;BANK OF INDIA Liquid Fund- Direct Plan- Weekly IDCW;Direct Plan;Weekly IDCW;;INF761K01CM8;1005.5193;26-Sep-2026
111971;BANK OF INDIA Liquid Fund- Regular Plan- Daily IDCW;Regular Plan;Daily IDCW;;INF761K01CO4;1005.0000;26-Sep-2026
109254;BANK OF INDIA Liquid Fund- Regular Plan- Growth;Regular Plan;Growth;INF761K01306;;3244.9275;26-Sep-2026
109255;BANK OF INDIA Liquid Fund- Regular Plan- Weekly IDCW;Regular Plan;Weekly IDCW;;INF761K01CP1;1005.5112;26-Sep-2026

Capitalmind Mutual Fund
154011;Capitalmind Liquid Fund - Direct-Growth;Direct Plan;Growth;INF226401034;;1055.3896;26-Sep-2026
154010;Capitalmind Liquid Fund - Regular-Growth;Regular Plan;Growth;INF226401042;;1053.6350;26-Sep-2026

Edelweiss Mutual Fund
140194;Edelweiss Liquid Fund - Direct Plan - Bonus Option;Direct Plan;Bonus;INF754K01GY9;;2141.2742;26-Sep-2026
140196;Edelweiss Liquid Fund - Direct Plan - Growth Option;Direct Plan;Growth;INF754K01GM4;;3680.5535;26-Sep-2026
140198;Edelweiss Liquid Fund - Direct Plan - IDCW Option;Direct Plan;IDCW;INF754K01GO0;INF754K01GN2;3528.9683;26-Sep-2026
140192;Edelweiss Liquid Fund - Direct Plan Annual - IDCW Option;Direct Plan;Annual IDCW;INF754K01GX1;INF754K01GT9;3528.9274;26-Sep-2026
140193;Edelweiss Liquid Fund - Direct Plan daily - IDCW Option;Direct Plan;Daily IDCW;;INF754K01GP7;1194.2802;26-Sep-2026
140199;Edelweiss Liquid Fund - Direct Plan Fortnightly - IDCW Option;Direct Plan;Fortnightly IDCW;INF754K01GV5;INF754K01GR3;2476.7923;26-Sep-2026
